id,date,tweet,fav
117,2/22/2016 19:18,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
118,2/22/2016 19:15,"b'RT @koalistcom: How ""#Deadpool"" Is Filmed ? https://t.co/VeACXNDhYl @deadpoolmovie #DeadpoolMovie #vfx #marvel https://t.co/g18Q27sra6'",0
119,2/22/2016 19:13,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
120,2/22/2016 19:12,"b'How ""#Deadpool"" Is Filmed ? https://t.co/VeACXNDhYl @deadpoolmovie #DeadpoolMovie #vfx #marvel https://t.co/g18Q27sra6'",1
121,2/22/2016 19:11,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
122,2/22/2016 19:11,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
123,2/22/2016 19:09,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
124,2/22/2016 19:08,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
125,2/22/2016 19:00,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
126,2/22/2016 18:59,b'RT @TakeTshirt: DEADPOOL T-SHIRT... #deadpool #deadpoolmovie  https://t.co/E4nK7S00eA https://t.co/Dr2VPLEQtn',0
127,2/22/2016 18:59,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
128,2/22/2016 18:58,b'DEADPOOL T-SHIRT... #deadpool #deadpoolmovie  https://t.co/E4nK7S00eA https://t.co/Dr2VPLEQtn',1
129,2/22/2016 18:57,"b'RT @FlicksCity: ALL #Deadpool easter eggs, #Marvel #XMen Spider-Man &amp; Green Lantern references + post-credits https://t.co/NLLzAgt8Wg #Dead\xe2\x80\xa6'",0
130,2/22/2016 18:55,b'RT @eclectik: Rated R works! #DeadpoolMovie https://t.co/PTQWK7fhi5',0
131,2/22/2016 18:53,b'RT @thebestofmarvel: Marvel actors praising #DeadpoolMovie ! https://t.co/nAcgqFtcZF',0
132,2/22/2016 18:47,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
133,2/22/2016 18:46,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
134,2/22/2016 18:45,"b'RT @deejayhyuga: Take your Kids to see #DeadpoolMovie I saw The Woods, Blade &amp; watch the Simpsons/ South Park when I was a kid. #90sBabies4'",0
135,2/22/2016 18:44,"b""RT @darthsean85: \xf0\x9f\x98\x82 If you've seen #DeadpoolMovie you'll get this. #Deadpool https://t.co/yRM5tXSvWZ""",0
136,2/22/2016 18:39,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
137,2/22/2016 18:37,"b""So I've seen #DeadpoolMovie 3 times..Its just as funny as it was the first time.  Definitely one of the best comic movies.""",1
138,2/22/2016 18:35,b'RT @missbonekitty: Aw yeah #deadpoolmovie #deadpool https://t.co/ihFAK4kW7J',0
139,2/22/2016 18:34,b'Aw yeah #deadpoolmovie #deadpool https://t.co/ihFAK4kW7J',17
140,2/22/2016 18:29,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
141,2/22/2016 18:27,"b'""Mmm I\'m so touching myself tonight"" #DeadpoolMovie https://t.co/BjkvXOE3co'",3
142,2/22/2016 18:22,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
143,2/22/2016 18:14,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
144,2/22/2016 18:01,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
